lang,count
th,1616
en,1343
ja,79
en-gb,15
id,12
es,4
zh-TW,4
zh-CN,2
en-GB,2
ko,2
zh-tw,2
he,1
zh-cn,1
xx-lc,1
pt,1
fr,1
