lang,count
en,1231
ja,242
ar,192
hi,102
fi,69
zh-CN,49
de,46
el,45
nl,42
jw,41
id,40
bg,40
tl,39
so,36
ro,36
pl,35
sv,34
ru,33
mt,33
ceb,31
vi,31
ms,29
cy,28
it,25
hu,25
et,24
mi,23
uz,23
eu,21
no,21
ny,19
eo,18
su,18
af,18
tr,17
fr,17
hr,17
fy,16
lb,14
sw,14
is,14
da,14
mg,13
ha,13
haw,13
zu,13
cs,11
sn,11
pt,11
es,11
la,10
gd,9
lt,9
lv,9
ku,8
sq,8
ht,7
ga,7
az,7
ca,7
xh,7
sl,6
sk,6
hmn,6
gl,5
co,5
st,3
bs,3
ig,3
sm,2
ur,1
