lang,count
en,275
th,240
ja,89
error,70
hi,22
jw,11
ar,10
tl,9
id,9
vi,8
de,7
no,6
so,6
zh-CN,6
cy,6
fr,6
ms,6
el,5
ceb,5
es,5
ko,5
nl,5
sv,4
it,4
fi,4
pl,4
mi,4
ca,4
hu,3
ny,3
lt,3
sl,3
pt,3
cs,3
af,2
sk,2
ro,2
sn,2
et,2
haw,2
ru,2
is,2
bg,2
eu,2
lb,2
su,2
fy,2
sw,2
bs,1
da,1
mt,1
tr,1
hmn,1
zh-TW,1
ht,1
zu,1
co,1
ig,1
la,1
lv,1
ga,1
hr,1
uz,1
gd,1
mg,1
eo,1
